ydstogo,yardline_100,game_seconds_remaining,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,off_epa_db,off_epa_rush,def_epa_db_allowed,def_epa_rush_allowed,posteam,defteam,qtr,season,fourth_down_converted
5,27,801,-17,3.0,2.0,0.242103321654931,0.102375945646042,-0.0202600701271285,0.0435898536004515,BAL,KC,4,2019,1
1,37,1174,-4,3.0,3.0,0.009720319301181,0.0099021128657974,0.0165123882273986,0.0961225913147785,ARI,CAR,3,2019,1
2,2,795,-19,2.0,2.0,-0.148978229968426,-0.111361399186833,-0.0009108983897643,-0.125145709310629,WAS,CHI,4,2019,1
1,56,611,-13,2.0,2.0,-0.148978229968426,-0.111361399186833,-0.0009108983897643,-0.125145709310629,WAS,CHI,4,2019,1
1,16,428,-13,2.0,2.0,-0.148978229968426,-0.111361399186833,-0.0009108983897643,-0.125145709310629,WAS,CHI,4,2019,0
1,1,1265,-14,2.0,3.0,-0.051984112551296,-0.0790818200280907,-0.0192840355132985,0.0433734070575805,DEN,GB,3,2019,1
17,51,143,-11,2.0,3.0,-0.051984112551296,-0.0790818200280907,-0.0192840355132985,0.0433734070575805,DEN,GB,4,2019,0
8,78,145,-3,3.0,2.0,0.0465152771391996,-0.0759834800828191,0.164074237521078,-0.0755910568507493,PHI,DET,4,2019,0
15,55,49,-3,2.0,2.0,0.0465152771391996,-0.0759834800828191,0.164074237521078,-0.0755910568507493,PHI,DET,4,2019,0
13,57,127,-7,1.0,3.0,0.114717071526237,-0.114772551400137,0.134778699079921,-0.0179343873439959,LAC,HOU,4,2019,1
2,34,65,-7,1.0,3.0,0.114717071526237,-0.114772551400137,0.134778699079921,-0.0179343873439959,LAC,HOU,4,2019,1
14,34,17,-7,0.0,1.0,0.114717071526237,-0.114772551400137,0.134778699079921,-0.0179343873439959,LAC,HOU,4,2019,0
9,40,559,-4,3.0,2.0,-0.0225811426797235,-0.0598958622084029,0.0085223775335452,-0.0853475778762632,CLE,LA,4,2019,0
4,4,33,-7,2.0,0.0,-0.0225811426797235,-0.0598958622084029,0.0085223775335452,-0.0853475778762632,CLE,LA,4,2019,0
6,51,427,-18,3.0,3.0,-0.0420003856347691,-0.165772631114309,-0.0010604995789311,-0.0918298045897583,MIA,DAL,4,2019,1
5,38,335,-18,3.0,3.0,-0.0420003856347691,-0.165772631114309,-0.0010604995789311,-0.0918298045897583,MIA,DAL,4,2019,0
2,40,43,-25,2.0,3.0,-0.0420003856347691,-0.165772631114309,-0.0010604995789311,-0.0918298045897583,MIA,DAL,4,2019,0
1,41,1957,-6,2.0,2.0,0.17439001477562,-0.0815850348570847,0.0145120045571845,-0.144556129376769,SEA,NO,2,2019,0
1,1,1367,13,3.0,2.0,0.160439351780536,-0.0653863890945963,0.050436516288713,-0.0066489881886336,NO,SEA,3,2019,1
5,13,1072,-20,2.0,3.0,0.17439001477562,-0.0815850348570847,0.0145120045571845,-0.144556129376769,SEA,NO,3,2019,0
3,34,804,-20,2.0,2.0,0.17439001477562,-0.0815850348570847,0.0145120045571845,-0.144556129376769,SEA,NO,4,2019,1
1,72,587,-13,1.0,1.0,0.17439001477562,-0.0815850348570847,0.0145120045571845,-0.144556129376769,SEA,NO,4,2019,0
1,41,3414,0,3.0,3.0,0.064139186720183,-0.12414016503821,0.192773613179718,-0.123283697826554,TB,NYG,1,2019,1
